trader1,trader2,market_maker
0.279581218957901,0.27999037504196167,-0.007675184868276119
0.31945353746414185,0.3095436990261078,-0.015342725440859795
0.3191518783569336,0.33719372749328613,-0.007061779964715242
0.364071786403656,0.3574782907962799,-0.0021545561030507088
0.3600304126739502,0.36152589321136475,-0.004914868623018265
0.35800841450691223,0.3694334626197815,-0.008288586512207985
0.389767050743103,0.3936105966567993,-0.017489634454250336
0.39579617977142334,0.40543827414512634,-0.017796337604522705
0.4230266809463501,0.4272172152996063,-0.007981883361935616
0.4126613736152649,0.45664092898368835,-0.011355604976415634
0.4522762894630432,0.4700298607349396,-0.009822096675634384
0.4722655713558197,0.474104642868042,-0.016876231878995895
0.48854881525039673,0.5072253346443176,-0.013809217140078545
0.4869445860385895,0.5095255970954895,0.0006057596765458584
0.4964446425437927,0.5154144167900085,-0.004914869554340839
0.4931790828704834,0.5053602457046509,-0.006141676567494869
0.5074349641799927,0.5091946125030518,-0.0015411506174132228
0.5284148454666138,0.523523211479187,0.0021392679773271084
0.539753258228302,0.5485994219779968,0.0024459687992930412
0.5308912992477417,0.5396908521652222,0.011033616028726101
0.5178970694541931,0.5539267659187317,0.005819688085466623
0.5259400606155396,0.5356335639953613,0.019927961751818657
0.5488196015357971,0.5338629484176636,0.026982100680470467
0.5183454155921936,0.5330426096916199,0.025141891092061996
0.5619339942932129,0.5510907173156738,0.030355820432305336
0.5268225073814392,0.5583043694496155,0.037103258073329926
0.5455177426338196,0.537039041519165,0.03648985177278519
0.5057404637336731,0.5328825116157532,0.029435712844133377
0.5047513842582703,0.5361132025718689,0.04078367352485657
0.5259542465209961,0.5258857011795044,0.04691770672798157
0.530046284198761,0.5155214071273804,0.05151823163032532
0.5252459645271301,0.5335872769355774,0.060719285160303116
0.5035325884819031,0.5315561294555664,0.054278548806905746
0.49808263778686523,0.5481315851211548,0.05857237055897713
0.5143917798995972,0.5262689590454102,0.05795896425843239
0.5204638838768005,0.543138861656189,0.0650131106376648
0.5291557312011719,0.5600464344024658,0.0558120533823967
0.5348909497261047,0.5644761323928833,0.0680801272392273
0.5107835531234741,0.5573828220367432,0.056425463408231735
0.543645977973938,0.5394997000694275,0.059799179434776306
0.5268036127090454,0.55769282579422,0.05703886225819588
0.534565806388855,0.5647037029266357,0.042010482400655746
0.5140119791030884,0.5371780395507812,0.05550535395741463
0.5076954364776611,0.5332871675491333,0.056732162833213806
0.5236625671386719,0.5692580938339233,0.0650131106376648
0.5322611927986145,0.5552617311477661,0.05949247628450394
0.5128324031829834,0.5574732422828674,0.05243833735585213
0.544288694858551,0.5753483772277832,0.05458524823188782
0.5113649964332581,0.5614919662475586,0.056118760257959366
0.5242277383804321,0.5468258857727051,0.054891955107450485
0.5313634872436523,0.5600961446762085,0.05489195138216019
0.5092926025390625,0.532503604888916,0.05458524823188782
0.503926157951355,0.5457082986831665,0.05826566740870476
0.5286362171173096,0.5488660931587219,0.050904832780361176
0.5332380533218384,0.5477563142776489,0.060105882585048676
0.5497875213623047,0.554767906665802,0.053971849381923676
0.5326797962188721,0.586521565914154,0.037716660648584366
0.5294303894042969,0.5359883308410645,0.052438341081142426
0.5341142416000366,0.5480564832687378,0.05335844308137894
0.5241987705230713,0.5445128679275513,0.05489195138216019
0.5339138507843018,0.555299699306488,0.035569749772548676
0.5321025848388672,0.5501794219017029,0.05090482905507088
0.5387836694717407,0.5514994859695435,0.047837816178798676
0.5509104132652283,0.5602268576622009,0.052745040506124496
0.5336744785308838,0.5597221851348877,0.043237291276454926
0.5521413683891296,0.5293887853622437,0.055505357682704926
0.5450016260147095,0.5560488104820251,0.04691770672798157
0.5359456539154053,0.5287081003189087,0.061946090310811996
0.5307199954986572,0.5181731581687927,0.05949247628450394
0.5363049507141113,0.5506601929664612,0.045997604727745056
0.5279362797737122,0.5264795422554016,0.05857237055897713
0.5285558700561523,0.5534342527389526,0.041703782975673676
0.5199541449546814,0.5328068733215332,0.055198654532432556
0.4888205826282501,0.49987298250198364,0.0680801197886467
0.5033068656921387,0.5151925086975098,0.054891958832740784
0.4886282980442047,0.49753808975219727,0.06378629803657532
0.4983149766921997,0.5224511027336121,0.05857237055897713
0.5287705659866333,0.5069413781166077,0.0680801197886467
0.5081629753112793,0.5169757604598999,0.06961362808942795
0.4786940813064575,0.4953950345516205,0.0864822268486023
0.5268957614898682,0.5345334410667419,0.0751342624425888
0.5002520084381104,0.5450088977813721,0.07636107504367828
0.47326236963272095,0.504772424697876,0.08280180394649506
0.47815266251564026,0.5241172313690186,0.08372190594673157
0.48172667622566223,0.5204966068267822,0.0782012790441513
0.4932723641395569,0.5287067890167236,0.08862913399934769
0.465650737285614,0.5289099812507629,0.07666777074337006
0.49318385124206543,0.5502171516418457,0.0904693454504013
0.513314425945282,0.5485047101974487,0.08188169449567795
0.47728145122528076,0.5274794101715088,0.08218839764595032
0.4907868206501007,0.5414580702781677,0.08280180394649506
0.5035149455070496,0.5345320105552673,0.07912138104438782
0.500586748123169,0.5513520836830139,0.0782012790441513
0.4948787987232208,0.5209415555000305,0.08556211739778519
0.49936896562576294,0.5461611151695251,0.07574766874313354
0.5093919038772583,0.572321891784668,0.0926162600517273
0.5067944526672363,0.566120982170105,0.08188170194625854
0.4869421720504761,0.550240159034729,0.08157499879598618
0.5087838172912598,0.5582317113876343,0.06378629803657532
0.4916173815727234,0.5628191232681274,0.07697447389364243
0.5150773525238037,0.5740218162536621,0.07482755929231644
0.4929291605949402,0.5572093725204468,0.07973478734493256
